title,description,salary,date_posted
"Snow Fox Data, a Division of Excelion Partners",Data Engineer,"$120,000 - $150,000 a year",2 days ago
,Data Engineer,$87.09 - $100.84 an hour,Today
Rhode Island Blood Center,Data Engineer,"$100,000 - $115,000 a year",Today
Circle,"Data Engineer, Financial Data","$120,000 - $162,500 a year",1 day ago
Intone Networks,Data Analyst/ Data Modeler,$60 an hour,24 days ago
Apex Systems,Data Engineer,"$90,000 - $100,000 a year",2 days ago
Ascent Services Group,Data Governance Data Analyst,"$150,000 - $200,000 a year",12 days ago
Nike,Datawarehousing Data Architect/ Data Modeler - Remote,$70 - $80 an hour,1 day ago
Brooksource,Data Analyst,$30 - $35 an hour,1 day ago
,Data Scientist,$70 - $80 an hour,Today
,Data Analyst – Data Services Organization- USD,$35 - $45 an hour,Today
NAFSA Association of International Educators,Data Analyst,"$70,000 a year",2 days ago
CBit Technologies,Remote - Data Engineer (Data Warehouse Developer),$70,4 days ago
randstad,Health Data Architect,$55.00 - $68.75 an hour,2 days ago
NTT DATA,Data Engineer,$60 an hour,1 day ago
People Integra LLC,"Data Engineer (Data Warehouse, Azure Data Factory, Stored Procedures)...",$56,4 days ago
Innovative Blood Resources,Lead Data Engineer,"$150,000 - $160,000 a year",Today
Booz Allen Hamilton,Data Engineer,"$75,600 - $172,000 a year",1 day ago
University of Texas M.D. Anderson,Sr Data Engineer,"$103,000 - $129,000 a year",1 day ago
Intone Networks,Data Architect,$90 an hour,16 days ago
Mondo,Technical Data Analyst,$50 - $75 an hour,2 days ago
Unreal Gigs,Cloud Data Engineer,"$140,000 - $210,000 a year",1 day ago
Unreal Gigs,Data Warehouse Engineer,"$140,000 - $210,000 a year",1 day ago
augmentjobs,Junior Data Engineer,"$70,000 - $95,000 a year",1 day ago
BCforward,Data Scientist,"$100,000 - $125,000 a year",12 days ago
randstad,Data Analyst,$50.0 - $62.5 an hour,5 days ago
Evergy,Data Analytics,"$51,000 - $63,700 a year",Today
Russell Tobin,Data Engineer,$55 - $67 an hour,1 day ago
Circle,Data Engineer,"$120,000 - $162,500 a year",2 days ago
Unreal Gigs,Lead Data Scientist,"$190,000 - $270,000 a year",1 day ago
Randstad US,Lead Data Architect,"$120,000 - $140,000 a year",1 day ago
"ICF International, Inc",Data Scientist,"$112,513 - $191,273 a year",1 day ago
Irvine Technology Corporation,Lead Data Engineer,$80 - $90 an hour,2 days ago
SAIC,Data Governance Analyst,"$100,001 - $125,000 a year",2 days ago
Nuvance Health,Data Engineer II,$39 - $73,1 day ago
Amentum,Data Manager,"$120,000 - $170,000 a year",1 day ago
Circle,"Senior Data Engineer, Financial Data","$150,000 - $200,000 a year",12 days ago
Booz Allen Hamilton Inc,Data Scientist,"$96,600 - $220,000 a year",1 day ago
"The Brixton Group, Inc",Senior Data Architect,Up to $180 an hour,1 day ago
ResMed,"Senior Data Engineer, Data Engineering","$134,000 - $202,000 a year",9 days ago
Neighborhood Place of Puna,Data Specialist,"From $55,000 a year",2 days ago
Reframe (Glucobit),Data Scientist,"$142,000 - $200,000 a year",12 days ago
Unreal Gigs,Senior Data Analyst,"$140,000 - $190,000 a year",1 day ago
GREATER CHICAGO FOOD DEPOSITORY,Business Data Analyst,"$67,396 - $101,094 a year",1 day ago
"Technogen, Inc",Remote - Data Developer/Data Engineer with Data Security,$70,21 days ago
Center for Alternative,Senior Data Analyst,"$70,000 a year",Today
Randstad Digital,Health Data Architect,$55.00 - $68.75 an hour,6 days ago
Advanced Technology Innovation,Data Architect,"$150,000 - $200,000 a year",12 days ago
Booz Allen Hamilton Inc,Data Engineer,"$75,600 - $172,000 a year",1 day ago
Booz Allen Hamilton,Data Scientist,"$75,600 - $172,000 a year",1 day ago
Guardian Life Insurance Company,Data Architect Lead,"$91,260 - $149,925 a year",1 day ago
Workforce Opportunity Services,Data Engineer,$30 an hour,11 days ago
Bernard Nickels & Associates,"Data Engineer, Analytics","Up to $120,000 a year",2 days ago
People Integra LLC,"Health Data Architect (Data Modeling, Healthcare Domain Knowledge) |...",$69,4 days ago
MSC Industrial Supply,Data Platform Engineer,"$70,980 - $111,540",1 day ago
Leidos,Healthcare Data Practitioner,"$122,200 - $220,900 a year",2 days ago
Redefined Corp,Remote - Data Governance Specialist with Data Analysis,$100,7 days ago
Booz Allen Hamilton Inc,Data Analyst,"$60,400 - $137,000 a year",1 day ago
Ford Motor Company,Data Engineer,"$86,005 - $147,040 a year",13 days ago
Circle,Senior Data Engineer,"$147,500 - $195,000 a year",3 days ago
Mitsubishi HC Capital America Inc,Principal Data Engineer,"$173,000 - $191,800 a year",Today
Charter Spectrum,Sr Data Developer,"$88,200 - $156,600 a year",1 day ago
Booz Allen Hamilton,Data Architect,"$84,600 - $193,000 a year",5 days ago
CVS Health,Data Engineer,"$109,283 a year",1 day ago
Job On Remote Online USA,Data Entry,$40 - $52,27 days ago
,Data Analyst,$45 - $60 an hour,Today
WebstaurantStore,Data Scientist,"$80,000 - $100,000 a year",12 days ago
Aprio,Enterprise Data Architect,"$150,000 - $200,000 a year",12 days ago
wati,Data Scientist,"$60,000 - $130,000 a year",26 days ago
Publicis Sapient,"Principal, Data Strategy","$175,000 - $225,000 a year",11 days ago
blueStone Staffing Solutions,Sr. Data Engineer,$75 an hour,2 days ago
Department of Commerce - U.S. Census Bureau,Data Scientist,"$117,962 - $153,354 a year",Today
CVS Health,Principal Data Architect,"$144,200 - $288,400 a year",Today
"American Auto Shield, Inc",Data Warehouse Architect,"$90,000 - $110,000 a year",2 days ago
3M,Principal Data Engineer,"$160,284 - $195,903 a year",Today
Rensselaer Polytechnic Institute,Data Analyst,"$76,232 a year",1 day ago
Booking.com,Senior Data Engineer - Data & Machine Learning Platform,"$165,400 - $181,000 a year",3 days ago
PepsiCo,Sr Data Engineer,"$115,000 - $197,500",10 days ago
The Shipyard,Senior Data Engineer,"$110,000 - $137,000 a year",1 day ago
North Carolina Voter Project (NCVP),Data Director,"$70,000 - $90,000 a year",2 days ago
Sentara,Senior Data Modeler,"$100,464 - $167,419 a year",Today
"Technogen, Inc",Remote - Data Engineer,$77 an hour,19 days ago
Intone Networks,Lead Data Engineer,$95 an hour,10 days ago
PepsiCo,Data Engineer Manager,"$125,000 - $217,500",9 days ago
Reveleer,Data QA Analyst,"$85,000 - $110,000 a year",12 days ago
Spectrum,Sr Data Developer,"$88,200 - $156,600 a year",2 days ago
Sentara Healthcare,Senior Data Modeler,"$100,464 - $167,419 a year",1 day ago
Collabera,Data Visualization Analyst,$50 an hour,Today
"Global Soft Systems, Inc",Business Data Analyst,"$60,000 - $130,000 a year",4 days ago
Callen-Lorde Community Health Center,Data Entry Specialist,$22 an hour,3 days ago
Takeda,Data Scientist,"$121,500 - $186,000 a year",9 days ago
The Shipyard,Senior Data Developer,"$110,000 - $137,000 a year",1 day ago
ALDI,Data Steward,$36.25 an hour,2 days ago
Sentara,Healthcare Data Analyst,"$69,958 - $104,937 a year",Today
FocusKPI Inc,Data Scientist,"$150,000 - $200,000 a year",12 days ago
Mitchell Martin,Data Scientist,"$80,000 - $100,000 a year",12 days ago
,Senior Data Analyst,$66.5 - $77.0 an hour,Today
The Allen Institute for Brain Science,Data Support Technician II - Data Publishing,"$72,200 - $96,250 a year",1 day ago
Randstad Digital,Data Analyst,$50.0 - $62.5 an hour,6 days ago
augmentjobs,SQL Data Analyst,"$70,000 - $100,000 a year",Today
,Data Analyst IV,$63 - $65 an hour,Today
Booz Allen Hamilton,Data Analyst,"$75,600 - $172,000 a year",25 days ago
"Kelly Science, Engineering, Technology & Telecom",SAP Data Migration Specialist,$40 - $45 an hour,2 days ago
Eaton,Principal Architect - Data Governance,"$136,500 - $200,200 a year",2 days ago
ManTech,Data Governance Project Coordinator,"$100,800 - $168,700 a year",1 day ago
University of Texas,Data Architect,"$120,000 - $138,000 a year",7 days ago
Public Consulting Group,Data Architect,"$150,000 - $200,000 a year",12 days ago
Department of Homeland Security - DHS Headquarters,Data Science - Technical,"$104,000 - $207,500 a year",Today
Docusign,Lead Marketing Data Architect,"$171,500 - $277,025 a year",1 day ago
CACI International,Data Architect (Public Health),"$95,500 - $210,100 a year",2 days ago
Tailored Brands,Data Engineer II,"$106,800 - $142,300 a year",1 day ago
CVS Health,Lead Data Automation Engineer - Data Governance Team,"$115,000 - $260,000 a year",2 days ago
Cencora,Analytics Data Engineer,"$84,400 - $120,890 a year",1 day ago
HRM INFO LLC,Data Visualization Specialist,"$150,000 - $200,000 a year",12 days ago
"SEO (SPONSORS FOR EDUCATIONAL OPPORTUNITY, INC)",Data Manager,"$67,600 - $73,300 a year",12 days ago
Leidos,Data Scientist,"$122,200 - $220,900 a year",15 days ago
Unreal Gigs,Senior Data Analytics Consultant,"$150,000 - $200,000 a year",1 day ago
New York University,Data Scientist,"$135,000 - $155,000 a year",24 days ago
Tek Hire Solutions,Sr. Data Modeler - 100% Remote,$50 an hour,1 day ago
US Government Other Agencies and Independent...,Data Engineer,$9 - $13,1 day ago
IDEA Public Schools,Data Architect (24-25),"$81,800 a year",2 days ago
Accylerate,Senior Data Analyst,"$150,000 a year",25 days ago
CVS Health,Data Scientist,"$98,717 a year",1 day ago
Booz Allen Hamilton Inc,"Data Scientist, Senior","$96,600 - $220,000 a year",1 day ago
Booz Allen Hamilton,"Data Analyst, Senior","$75,600 - $172,000 a year",3 days ago
Paperless Post,Senior Data Engineer,"$150,000 - $175,000 a year",8 days ago
BARK,Lead Data Scientist,"$156,000 - $187,000 a year",1 day ago
Atlassian,Data Engineer,"$140,100 - $186,800 a year",1 day ago
The Hartford,Sr. Data Engineer,"$140,067 - $170,040 a year",1 day ago
GoodRx,Data Engineer II,"$128,000 - $205,000 a year",1 day ago
DataFlow/ Alaska Inc,Data Technician,$26.01 an hour,5 days ago
NiSource,Lead Data Architect - Remote,"$125,800 - $188,600 a year",1 day ago
Intone Networks,Remote - DBT Architect (Data Architect),$85 an hour,Today
Mastercard,Lead Data Engineer,"$159,000 - $254,000 a year",6 days ago
Goldbelt Inc,Data Team Manager,"$110,000 - $135,000 a year",1 day ago
DocuSign,Lead Marketing Data Architect,"$171,500 - $277,025 a year",2 days ago
BayOne Solutions,Data Engineer - Full Time,"$150,000 - $200,000 a year",12 days ago
